"TOPOGRAPHY","ICE_BASE","Dist","model_bed"
21.9952,NA,10124.2548663773,-339.548706444444
22.0004,NA,10190.9564809512,-335.949940888889
21.9966,NA,10257.5471016366,-332.351175333333
21.9934,NA,10324.0666263519,-328.752409777778
21.9929,NA,10390.4937682782,-325.153644222222
22.0082,NA,10456.8423449882,-321.554878666667
22.0293,NA,10523.0860036315,-317.956113111111
22.04,NA,10589.2376938981,-314.357347555556
22.0513,NA,10655.3164833047,-310.758582
22.0564,NA,10721.3018164086,-307.190399888889
22.0698,NA,10787.2171729164,-303.622217777778
22.0736,NA,10853.0611896045,-300.054035666667
22.0615,NA,10918.8625032963,-296.485853555556
22.0661,NA,10984.6108070645,-292.917671444444
22.0649,NA,11050.3021261004,-289.349489333333
22.0606,NA,11115.931324283,-285.781307222222
22.0732,NA,11181.5119533458,-282.213125111111
22.0591,NA,11247.0342638147,-278.644943
22.0547,NA,11312.5106115918,-275.7975654
22.0667,NA,11377.9516853752,-272.9501878
22.09,NA,11443.3527237664,-270.1028102
22.1158,NA,11508.7144461047,-267.2554326
22.1101,NA,11574.0441703126,-264.408055
22.0962,NA,11639.3323010512,-261.5606774
22.108,NA,11704.5765099035,-258.7132998
22.0998,NA,11769.7946360603,-255.8659222
22.0984,NA,11834.9688562165,-253.0185446
22.0974,NA,11900.1382643521,-250.171167
22.1088,NA,11965.2996535795,-247.706926555556
22.0977,NA,12030.4633077088,-245.242686111111
22.1009,NA,12095.6613644135,-242.778445666667
22.1141,NA,12160.8694721829,-240.314205222222
22.1102,NA,12226.1052357531,-237.849964777778
22.1216,NA,12291.3519289082,-235.385724333333
22.1446,NA,12356.619433248,-232.921483888889
22.1521,NA,12421.9004103993,-230.457243444444
22.1639,NA,12487.1852761767,-227.993003
22.1696,NA,12552.4969333135,-226.809414444444
22.1553,NA,12617.8111133875,-225.625825888889
22.1509,NA,12683.1636535376,-224.442237333333
22.1492,NA,12748.5363940864,-223.258648777778
22.153,NA,12813.9533798475,-222.075060222222
22.1563,NA,12879.3876384581,-220.891471666667
22.1545,NA,12944.8645070525,-219.707883111111
22.1601,NA,13010.3628903695,-218.524294555556
22.1662,NA,13075.8872500891,-217.340706
22.1843,NA,13141.4386543332,-217.439982444444
22.198,NA,13207.0011556923,-217.539258888889
22.2039,NA,13272.5789177045,-217.638535333333
22.2367,NA,13338.1765355052,-217.737811777778
22.4115,NA,13403.7975732121,-217.837088222222
23.0021,NA,13469.4588201729,-217.936364666667
22.4721,NA,13535.1497375488,-218.035641111111
22.1311,NA,13600.8835866951,-218.134917555556
22.5336,NA,13666.6548139906,-218.234194
23.0906,NA,13732.4742960225,-219.4241287
23.0645,NA,13798.3224731933,-220.6140634
22.553,NA,13864.2077947351,-221.8039981
22.4012,NA,13930.1383945035,-222.9939328
22.3309,NA,13996.1124261823,-224.1838675
22.3436,NA,14062.1317134332,-225.3738022
22.325,NA,14128.2005381748,-226.5637369
22.3158,NA,14194.325710891,-227.7536716
22.3223,NA,14260.5043098203,-228.9436063
22.355,NA,14326.7286533288,-230.133541
22.4595,NA,14393.008012915,-232.796439777778
22.3875,NA,14459.343825051,-235.459338555556
22.3667,NA,14525.7222292624,-238.122237333333
24.4141,NA,14592.1692091985,-240.785136111111
22.5328,NA,14658.6785982267,-243.448034888889
22.2965,NA,14725.2476588245,-246.110933666667
22.3502,NA,14791.8788110333,-248.773832444444
22.4123,NA,14858.5640686619,-251.436731222222
22.3777,NA,14925.315209215,-254.09963
22.379,NA,14992.1035847559,-257.580985888889
23.5465,NA,15058.9673588921,-261.062341777778
23.2556,NA,15125.8698254773,-264.543697666667
23.6616,NA,15192.8588941173,-268.025053555556
22.674,NA,15259.9173323065,-271.506409444444
22.4449,NA,15327.084962922,-274.987765333333
22.4402,NA,15394.3412860486,-278.469121222222
22.4469,NA,15461.7187760321,-281.950477111111
22.4889,NA,15529.2105013015,-285.431833
22.6615,NA,15596.8079275575,-288.9534386
22.4972,NA,15664.5022071314,-292.4750442
22.9814,NA,15732.2887980653,-295.9966498
22.5203,NA,15800.1618519913,-299.5182554
22.5163,NA,15868.1079693799,-303.039861
22.7737,NA,15936.1391739674,-306.5614666
23.7682,NA,16004.2279228222,-310.0830722
22.7589,NA,16072.398813381,-313.6046778
22.7606,NA,16140.6506888897,-317.1262834
23.0664,NA,16208.9617285094,-320.647889
23.1474,NA,16277.3306065108,-324.854296555556
26.8038,NA,16345.7693876781,-329.060704111111
24.479,NA,16414.2574460247,-333.267111666667
24.4932,NA,16482.8080840598,-337.473519222222
23.9858,NA,16551.4183473611,-341.679926777778
24.6815,NA,16620.0778104961,-345.886334333333
23.6085,NA,16688.805757734,-350.092741888889
23.8043,NA,16757.5932684647,-354.299149444444
24.7333,NA,16826.4463444434,-358.505557
25.3407,NA,16895.3666448262,-362.156283444444
23.8544,NA,16964.3471972327,-365.807009888889
23.391,NA,17033.3886747371,-369.457736333333
23.8149,NA,17102.5008824198,-373.108462777778
23.9821,NA,17171.6700594922,-376.759189222222
27.4118,NA,17240.8967487535,-380.409915666667
25.6618,NA,17310.1740503361,-384.060642111111
24.7915,NA,17379.5122828306,-387.711368555556
30.3296,NA,17448.8934796149,-391.362095
28.9808,NA,17518.3364395982,-393.7670797
25.8438,NA,17587.8294825409,-396.1720644
25.4007,NA,17657.3762529009,-398.5770491
23.6965,NA,17726.9668132958,-400.9820338
23.9051,NA,17796.6217745566,-403.3870185
23.7547,NA,17866.2897023183,-405.7920032
23.838,NA,17935.996676062,-408.1969879
23.5186,NA,18005.7191854076,-410.6019726
23.4153,NA,18075.4624692692,-413.0069573
24.3115,NA,18145.2164974718,-415.411942
24.4856,NA,18214.9884004555,-417.519915777778
24.4997,NA,18284.7711150935,-419.627889555556
24.4333,NA,18354.5635201533,-421.735863333333
23.9352,NA,18424.363145727,-423.843837111111
23.9613,NA,18494.152174944,-425.951810888889
24.2838,NA,18563.9270889501,-428.059784666667
24.0453,NA,18633.6951762577,-430.167758444444
24.7354,NA,18703.4523938203,-432.275732222222
24.0887,NA,18773.2120171298,-434.383706
24.8926,NA,18842.9496020349,-435.486673333333
25.3338,NA,18912.6979850451,-436.589640666667
25.9471,NA,18982.4296113492,-437.692608
25.8236,NA,19052.1581236054,-438.795575333333
27.1124,NA,19121.8805522493,-439.898542666667
25.4065,NA,19191.5790382342,-441.00151
25.0342,NA,19261.2731590717,-442.104477333333
25.4669,NA,19330.9714330932,-443.207444666667
25.7358,NA,19400.660278367,-444.310412
25.4724,NA,19470.3592734214,-443.747655888889
26.5565,NA,19540.0736497148,-443.184899777778
26.2992,NA,19609.8064739843,-442.622143666667
26.061,NA,19679.5399778851,-442.059387555556
25.8622,NA,19749.2858767164,-441.496631444444
25.2415,NA,19819.0383700242,-440.933875333333
25.8439,NA,19888.7884777727,-440.371119222222
26.0571,NA,19958.5542743432,-439.808363111111
25.7525,NA,20028.3328893546,-439.245607
29.6338,NA,20098.115790148,-437.459376
31.7337,NA,20167.9195330329,-435.673145
34.0191,NA,20237.7339714049,-433.886914
46.7766,NA,20307.582969607,-432.100683
44.731,NA,20377.4665132343,-430.314452
30.8514,NA,20447.3845728608,-428.528221
33.3849,NA,20517.3387166876,-426.74199
31.6184,NA,20587.3381331493,-424.955759
28.2973,NA,20657.3747394168,-423.169528
28.1755,NA,20727.4527456655,-421.383297
27.9044,NA,20797.557729878,-419.285649777778
29.0731,NA,20867.6849874889,-417.188002555556
28.1229,NA,20937.8378860026,-415.090355333333
29.1895,NA,21007.9840672766,-412.992708111111
28.2721,NA,21078.1383851683,-410.895060888889
28.1193,NA,21148.2938469178,-408.797413666667
28.4122,NA,21218.4600638593,-406.699766444444
26.7212,NA,21288.624588751,-404.602119222222
27.6747,NA,21358.7772385475,-402.504472
29.4797,NA,21428.9223923551,-399.860819222222
27.21,NA,21499.0755154777,-397.217166444444
29.0411,NA,21569.2177438999,-394.573513666667
29.4571,NA,21639.3721488275,-391.929860888889
32.3601,NA,21709.5282302851,-389.286208111111
37.2003,NA,21779.690804066,-386.642555333333
40.7301,NA,21849.8749304125,-383.998902555556
51.4272,NA,21920.0606644474,-381.355249777778
53.9728,NA,21990.2555223536,-378.711597
49.7929,NA,22060.4588254687,-375.9524699
38.1355,NA,22130.6670545321,-373.1933428
36.3856,NA,22200.8856816837,-370.4342157
47.0994,NA,22271.1048569308,-367.6750886
50.075,NA,22341.3384089057,-364.9159615
28.326,NA,22411.5898311327,-362.1568344
29.3423,NA,22481.8403085103,-359.3977073
