"Dist","ICE_BASE","model_bed","TOPOGRAPHY"
9509.86461249569,NA,-227.589,11.7
9565.91112511533,NA,-226.823,11.7
9621.81498368002,NA,-225.674,11.7
9677.59973061242,NA,-224.527,11.8
9733.2219492671,NA,-223.383,11.7
9788.71445628153,NA,-222.242,11.7
9844.04366791882,NA,-221.105,11.8
9899.22641976493,NA,-219.97,11.7
9954.26497851453,NA,-218.838,11.9
10009.1578306347,NA,-217.71,11.7
10063.9004452664,NA,-216.584,11.7
10118.5172344573,NA,-215.461,11.7
10172.9946482654,NA,-214.341,11.7
10227.3409983789,NA,-213.223,11.7
10281.5480457258,NA,-212.109,11.8
10335.6317868878,NA,-210.997,11.7
10389.5944994127,NA,-209.887,11.7
10443.4337176901,NA,-208.78,11.7
10497.150192792,NA,-207.676,11.7
10550.7528891701,NA,-206.574,11.7
10604.240309265,NA,-205.474,11.7
10657.620924368,NA,-204.376,11.7
10710.8777820306,NA,-203.281,11.7
10764.0248446023,NA,-202.188,11.7
10817.0481411801,NA,-201.098,11.7
10869.9708669717,NA,-200.01,11.7
10922.7660902007,NA,-198.924,11.7
10975.484880739,NA,-197.84,11.7
11028.0920987234,NA,-196.759,11.7
11080.6273518778,NA,-195.678,11.7
11133.0681910858,NA,-195.489,11.7
11185.4373212642,NA,-195.511,11.7
11237.7353504454,NA,-195.532,11.7
11289.9417597892,NA,-195.554,11.7
11342.0718347714,NA,-195.576,11.7
11394.1311784917,NA,-195.597,11.7
11446.1170661455,NA,-195.619,11.7
11498.0198247844,NA,-195.64,11.7
11549.8633023059,NA,-195.662,11.7
11601.631480245,NA,-195.683,11.7
11653.3161354281,NA,-195.705,11.7
11704.9400072891,NA,-195.726,11.7
11756.4912042861,NA,-195.748,11.7
11807.9867217738,NA,-195.769,11.7
11859.4294001677,NA,-195.79,11.7
11910.844289967,NA,-195.812,11.7
11962.2396815541,NA,-195.833,11.7
12013.6231991611,NA,-195.854,11.7
12065.0091621939,NA,-195.876,11.7
12116.3923937194,NA,-195.897,11.7
12167.7654073981,NA,-195.918,11.7
12219.1369040546,NA,-195.94,11.6
12270.4887755768,NA,-195.961,11.7
12321.8545468627,NA,-195.982,11.7
12373.2091616392,NA,-196.004,11.7
12424.55973728,NA,-196.025,11.7
12475.9142567395,NA,-196.046,11.7
12527.260494407,NA,-196.068,11.7
12578.6126638236,NA,-196.744,11.7
12629.9436226223,NA,-198.089,11.7
12681.2765031184,NA,-199.434,11.7
12732.6147353658,NA,-200.779,11.7
12783.9482225209,NA,-202.124,11.7
12835.2600373912,NA,-203.468,11.6
12886.6006543902,NA,-204.813,11.6
12937.9009393029,NA,-206.157,11.7
12989.212025413,NA,-207.502,11.7
13040.5083265127,NA,-208.845,11.6
13091.8022548374,NA,-210.189,11.7
13143.0970371976,NA,-211.533,11.6
13194.3753370011,NA,-212.877,11.7
13245.6650829136,NA,-214.22,11.7
13296.9431155255,NA,-215.564,11.6
13348.2175924678,NA,-216.907,11.6
13399.4904611005,NA,-218.25,11.6
13450.7516410335,NA,-219.593,11.6
13502.0154122571,NA,-220.936,11.6
13553.281061421,NA,-222.279,11.7
13604.5610463451,NA,-223.623,11.7
13655.8579070432,NA,-224.967,11.6
13707.1810829674,NA,-226.311,11.7
13758.5404269296,NA,-227.657,11.7
13809.9330489174,NA,-229.003,11.9
13861.3352737642,NA,-230.35,11.7
13912.7430241218,NA,-231.697,11.7
13964.1552938346,NA,-233.044,11.6
14015.5423385614,NA,-234.555,11.6
14066.8964742028,NA,-236.806,11.6
14118.2145163284,NA,-239.055,11.6
14169.5060160503,NA,-241.303,11.6
14220.7658584182,NA,-243.549,11.6
14272.0139637377,NA,-245.795,11.6
14323.2290173359,NA,-248.04,11.6
14374.42785138,NA,-250.284,11.6
14425.599882272,NA,-252.527,11.6
14476.7536686859,NA,-254.769,11.6
14527.8788491757,NA,-257.01,11.6
14578.9741281932,NA,-259.249,11.6
14630.0447040341,NA,-261.487,11.6
14681.0831454634,NA,-263.724,11.6
14732.0988326733,NA,-265.96,11.9
14783.0771717754,NA,-268.194,12.1
14834.0432122467,NA,-270.428,12
14884.9698705605,NA,-272.66,11.9
14935.8848952315,NA,-274.892,11.9
14986.7740114753,NA,-277.122,11.9
15037.6277916048,NA,-279.351,12.1
15088.4633914136,NA,-281.579,11.9
15139.2735766326,NA,-283.806,11.9
15190.0610332536,NA,-286.032,11.8
15240.8289998154,NA,-288.257,11.8
15291.5800840884,NA,-290.481,12
15342.2825559845,NA,-292.703,12
15392.9910362945,NA,-294.926,11.8
15443.6666182362,NA,-297.147,11.9
15494.336146459,NA,-299.227,11.9
15544.9729123838,NA,-301.284,11.8
15595.5970931823,NA,-303.341,11.7
15646.1895180703,NA,-305.396,11.7
15696.760016648,NA,-307.451,11.7
15747.3511699373,NA,-309.507,11.9
15797.9292299864,NA,-311.562,11.7
15848.5186359634,NA,-313.617,12
15899.11756778,NA,-315.673,11.8
15949.7433280645,NA,-317.73,11.6
16000.3789827356,NA,-319.787,11.9
16051.0303691753,NA,-321.845,11.9
16101.6667183248,NA,-323.902,11.7
16152.2774432526,NA,-325.959,11.6
16202.8699436052,NA,-328.014,11.6
16253.4278476768,NA,-330.068,11.7
16303.9625637537,NA,-332.122,11.6
16354.4659303748,NA,-334.173,11.7
16404.938777296,NA,-336.224,11.8
16455.3649123321,NA,-338.273,11.8
16505.7686457113,NA,-340.321,12.7
16556.1183757896,NA,-342.367,12.7
16606.4271338367,NA,-344.411,11.8
16656.6868190347,NA,-346.453,12.3
16706.8917942027,NA,-348.492,11.9
16757.0469702782,NA,-350.53,11.7
